"","anno","ipc"
"1",1982,2.79450119432771
"2",1983,8.98265064497983
"3",1984,6.53447977308414
"4",1985,10.142088006513
"5",1986,6.45004895007903
"6",1987,6.5414359880893
"7",1988,4.82316704166954
"8",1989,5.50113870378947
"9",1990,8.55824784305422
"10",1991,7.22749864902648
"11",1992,5.10806810487422
"12",1993,4.21874700669652
"13",1994,3.76409608784303
"14",1995,2.72974615767794
"15",1996,2.4317839325475
"16",1997,2.03009248567759
"17",1998,1.68856921022209
"18",1999,1.09110080187328
"19",2000,1.25561559596243
"20",2001,1.1718064902174
"21",2002,0.816736977389738
"22",2003,0.837728756824717
"23",2004,NA
"24",2005,0.991261678171178
"25",2006,1.09663635576296
"26",2007,1.33261826452048
"27",2008,2.88036578632535
"28",2009,NA
"29",2010,NA
"30",2011,1.09775542080168
"31",2012,0.959031761416191
"32",2013,0.561735957775012
"33",2014,1.42313800159689
"34",2015,1.43637411139561
"35",2016,1.23264512653923
"36",2017,0.713282289894762
"37",2018,0.792290571116097
"38",2019,0.734509472113518
"39",2020,1.00000014768754
